source,target,PhyloDist,Family_source,Family_target,System_source,System_target
ru,el,4536.53466587495,Slavic,Greek,masc/fem/neu,masc/fem/neu
hr,el,4536.14226719345,Slavic,Greek,masc/fem/neu,masc/fem/neu
pt,el,4536.90072664234,Romance,Greek,masc/fem,masc/fem/neu
uk,el,4536.8448369321,Slavic,Greek,masc/fem/neu,masc/fem/neu
hi,el,4792.54494367325,Indo-Iranian,Greek,masc/fem,masc/fem/neu
it,el,4536.12143894576,Romance,Greek,masc/fem,masc/fem/neu
bg,el,4536.49105152283,Slavic,Greek,masc/fem/neu,masc/fem/neu
ru,pl,727.9668413265,Slavic,Slavic,masc/fem/neu,masc/fem/neu
ro,pl,4407.00888589648,Romance,Slavic,masc/fem/neu,masc/fem/neu
uk,pl,728.27701238365,Slavic,Slavic,masc/fem/neu,masc/fem/neu
nl,pl,4406.84316002983,Germanic,Slavic,com/neu,masc/fem/neu
pl,pl,0,Slavic,Slavic,masc/fem/neu,masc/fem/neu
sv,pl,4406.85051323419,Germanic,Slavic,com/neu,masc/fem/neu
hi,pl,4792.52458369833,Indo-Iranian,Slavic,masc/fem,masc/fem/neu
el,pl,4536.47767097428,Greek,Slavic,masc/fem/neu,masc/fem/neu
lv,pl,2457.44551800632,Baltic,Slavic,masc/fem,masc/fem/neu
sk,pl,646.18874638395,Slavic,Slavic,masc/fem/neu,masc/fem/neu
sl,pl,1227.52321153181,Slavic,Slavic,masc/fem/neu,masc/fem/neu
de,pl,4405.78431988303,Germanic,Slavic,masc/fem/neu,masc/fem/neu
fr,pl,4405.40840837543,Romance,Slavic,masc/fem,masc/fem/neu
lt,pl,2457.34378764583,Baltic,Slavic,masc/fem,masc/fem/neu
cs,pl,645.672993164385,Slavic,Slavic,masc/fem/neu,masc/fem/neu
ca,pl,4407.19866915339,Romance,Slavic,masc/fem,masc/fem/neu
da,pl,4406.59287908091,Germanic,Slavic,com/neu,masc/fem/neu
hr,pl,1226.97150832277,Slavic,Slavic,masc/fem/neu,masc/fem/neu
it,pl,4406.58862706645,Romance,Slavic,masc/fem,masc/fem/neu
pt,pl,4407.36791476302,Romance,Slavic,masc/fem,masc/fem/neu
es,pl,4407.26676235646,Romance,Slavic,masc/fem,masc/fem/neu
bg,pl,1227.32029265216,Slavic,Slavic,masc/fem/neu,masc/fem/neu
uk,pt,4407.73508072085,Slavic,Romance,masc/fem/neu,masc/fem
pl,pt,4407.36791476302,Slavic,Romance,masc/fem/neu,masc/fem
es,pt,369.504035176541,Romance,Romance,masc/fem,masc/fem
lv,pt,4407.61116670509,Baltic,Romance,masc/fem,masc/fem
da,pt,3753.52268690483,Germanic,Romance,com/neu,masc/fem
bg,pt,4407.38129531158,Slavic,Romance,masc/fem/neu,masc/fem
hi,pt,4792.9476393664,Indo-Iranian,Romance,masc/fem,masc/fem
cs,pt,4406.87198044123,Slavic,Romance,masc/fem/neu,masc/fem
sk,pt,4407.38773366079,Slavic,Romance,masc/fem/neu,masc/fem
sv,pt,3753.78032105811,Germanic,Romance,com/neu,masc/fem
nl,pt,3753.77296785374,Germanic,Romance,com/neu,masc/fem
fr,pt,770.996914111315,Romance,Romance,masc/fem,masc/fem
el,pt,4536.90072664234,Greek,Romance,masc/fem/neu,masc/fem
sl,pt,4407.58421419124,Slavic,Romance,masc/fem/neu,masc/fem
de,pt,3752.71412770694,Germanic,Romance,masc/fem/neu,masc/fem
lt,pt,4407.5094363446,Baltic,Romance,masc/fem,masc/fem
ru,pt,4407.4249096637,Slavic,Romance,masc/fem/neu,masc/fem
ro,pt,1105.98488479966,Romance,Romance,masc/fem/neu,masc/fem
ca,pt,626.235453549725,Romance,Romance,masc/fem,masc/fem
hr,pt,4407.0325109822,Slavic,Romance,masc/fem/neu,masc/fem
it,pt,906.02381055574,Romance,Romance,masc/fem,masc/fem
pt,pt,0,Romance,Romance,masc/fem,masc/fem
uk,ro,4407.37605185431,Slavic,Romance,masc/fem/neu,masc/fem/neu
sl,ro,4407.2251853247,Slavic,Romance,masc/fem/neu,masc/fem/neu
ru,ro,4407.06588079716,Slavic,Romance,masc/fem/neu,masc/fem/neu
es,ro,1105.8837323931,Romance,Romance,masc/fem,masc/fem/neu
hi,ro,4792.58861049986,Indo-Iranian,Romance,masc/fem,masc/fem/neu
ro,ro,0,Romance,Romance,masc/fem/neu,masc/fem/neu
pl,ro,4407.00888589648,Slavic,Romance,masc/fem/neu,masc/fem/neu
lv,ro,4407.25213783855,Baltic,Romance,masc/fem,masc/fem/neu
el,ro,4536.5416977758,Greek,Romance,masc/fem/neu,masc/fem/neu
sk,ro,4407.02870479425,Slavic,Romance,masc/fem/neu,masc/fem/neu
sv,ro,3753.42129219157,Germanic,Romance,com/neu,masc/fem/neu
it,ro,1105.20559710308,Romance,Romance,masc/fem,masc/fem/neu
